TimeStamp,sleep_stage,sleep_stage_int,confidence,epoch
3925.5196,N3,3,0.9431334828851463,130
3955.5196,N3,3,0.9252130689899299,131
3985.5196,N3,3,0.9546865780312529,132
4015.5196,N3,3,0.9657646812208698,133
4045.5196,N3,3,0.9681517265205668,134
4075.5196,N3,3,0.9692925272312531,135
4105.5196,N3,3,0.9808026550386996,136
4135.5196,N3,3,0.9742288814284696,137
4165.5196,N3,3,0.9683586106960494,138
4195.5196,N3,3,0.9708802627680708,139
4225.5196,N3,3,0.9725260685070596,140
4255.5196,N3,3,0.9769349121509195,141
4285.5196,N3,3,0.9709446638384817,142
4315.5196,N3,3,0.9666228310786423,143
4345.5196,N3,3,0.971664270451001,144
4375.5196,N3,3,0.9726104194661876,145
4405.5196,N3,3,0.9892068315366692,146
4435.5196,N3,3,0.9868540930213552,147
4465.5196,N3,3,0.9946905058936946,148
4495.5196,N3,3,0.9874977549712697,149
4525.5196,N3,3,0.9916924011939067,150
4555.5196,N3,3,0.992793039282244,151
4585.5196,N3,3,0.9926376196955898,152
4615.5196,N3,3,0.993650915514254,153
4645.5196,N3,3,0.9856245823223836,154
4675.5196,N3,3,0.9824368524006064,155
4705.5196,N3,3,0.9942148136383335,156
4735.5196,N3,3,0.9646351757085748,157
4765.5196,N3,3,0.9820117335238624,158
4795.5196,N3,3,0.9901818872723503,159
4825.5196,N3,3,0.9850261853372707,160
4855.5196,N3,3,0.9887538550701714,161
4885.5196,N3,3,0.9938153082171166,162
4915.5196,N3,3,0.9915674632825661,163
4945.5196,N3,3,0.9892799031967937,164
4975.5196,N3,3,0.9922473448004397,165
5005.5196,N3,3,0.9918127846453575,166
5035.5196,N3,3,0.9849422307723362,167
5065.5196,N3,3,0.977404829311435,168
5095.5196,N3,3,0.9697617767587074,169
5125.5196,N3,3,0.9078450468470834,170
5155.5196,N3,3,0.9192223094468345,171
5185.5196,W,0,0.6078177790617854,172
5215.5196,N2,2,0.6571811285872184,173
5245.5196,N2,2,0.523298969772005,174
5275.5196,N2,2,0.5557994788732522,175
5305.5196,N2,2,0.5368626409603947,176
5335.5196,N2,2,0.6668232757839656,177
5365.5196,N2,2,0.5922310304566758,178
5395.5196,N2,2,0.6779792894295322,179
5425.5196,N2,2,0.694252195979431,180
5455.5196,N2,2,0.6918499207610683,181
5485.5196,N2,2,0.5798175822818934,182
5515.5196,N2,2,0.591101445937286,183
5545.5196,N2,2,0.5969247740321462,184
5575.5196,N2,2,0.7187222745616578,185
5605.5196,N3,3,0.49047418080476557,186
5635.5196,N2,2,0.5039518625261289,187
5665.5196,N3,3,0.7045793861766907,188
5695.5196,N3,3,0.5623791435658517,189
5725.5196,N3,3,0.5854257453739184,190
5755.5196,N3,3,0.5806555885012993,191
5785.5196,N3,3,0.5554126562310306,192
5815.5196,N3,3,0.7122106798277507,193
5845.5196,N3,3,0.7396556909148024,194
5875.5196,N3,3,0.5036096617588997,195
5905.5196,N3,3,0.5834789567269442,196
5935.5196,N2,2,0.5560050069191279,197
5965.5196,N3,3,0.6291151906131414,198
5995.5196,N3,3,0.5215764300930152,199
6025.5196,N2,2,0.6265077152121108,200
6055.5196,N2,2,0.7021304354753414,201
6085.5196,N2,2,0.7642846179494767,202
6115.5196,N2,2,0.9312071904119062,203
6145.5196,N2,2,0.6282957609063416,204
6175.5196,N2,2,0.628016695968322,205
6205.5196,R,4,0.482602576052347,206
6235.5196,R,4,0.5846271627669665,207
6265.5196,R,4,0.5584317531832376,208
6295.5196,W,0,0.544559463302415,209
6325.5196,R,4,0.6733135615553355,210
6355.5196,R,4,0.6236911836583365,211
6385.5196,R,4,0.6200959450202375,212
6415.5196,W,0,0.6915083038367951,213
6445.5196,W,0,0.6604138720039835,214
6475.5196,W,0,0.6524855101224709,215
6505.5196,W,0,0.7957736865869895,216
6535.5196,R,4,0.7394933872044895,217
6565.5196,R,4,0.6860095219585584,218
6595.5196,R,4,0.6167083941426127,219
6625.5196,R,4,0.706838777561435,220
6655.5196,R,4,0.47012471377538273,221
6685.5196,W,0,0.39903761816075056,222
6715.5196,W,0,0.7163299918718603,223
6745.5196,W,0,0.8194619571766719,224
6775.5196,W,0,0.8395504599515203,225
6805.5196,W,0,0.5266872280111754,226
6835.5196,W,0,0.47446710749031545,227
6865.5196,R,4,0.4269164748331307,228
6895.5196,W,0,0.38541953716574934,229
6925.5196,R,4,0.6674990999389184,230
6955.5196,R,4,0.5471676119223359,231
6985.5196,R,4,0.6012027544134148,232
7015.5196,R,4,0.6004128535398229,233
7045.5196,R,4,0.6605621642648621,234
7075.5196,R,4,0.4579257532954851,235
7105.5196,R,4,0.5163601062081874,236
7135.5196,R,4,0.563057633552107,237
