TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
19928880,-776,186,16866,44,-124,-103,-244,33,-198
19929380,-757,213,16820,45,-110,-99,-249,39,-196
19929880,-806,192,16812,45,-106,-100,-248,36,-196
19930380,-756,208,16836,33,-94,-97,-253,34,-188
19930880,-771,200,16844,50,-107,-87,-248,35,-201
19931380,-757,186,16819,42,-115,-100,-242,42,-194
19931880,-761,174,16841,35,-117,-114,-254,35,-205
19932380,-737,227,16866,49,-117,-98,-259,38,-210
19932880,-841,200,16843,31,-119,-108,-246,28,-205
19933380,-819,220,16881,49,-110,-105,-246,39,-186
19933880,-775,215,16891,46,-112,-97,-246,38,-193
19934380,-752,228,16842,50,-122,-89,-247,35,-191
19934880,-781,214,16878,45,-130,-99,-251,30,-190
19935380,-753,232,16827,45,-110,-96,-258,30,-186
19935880,-781,211,16858,51,-118,-106,-246,35,-194
19936380,-755,212,16841,49,-104,-102,-245,38,-199
19936880,-726,244,16845,46,-121,-89,-251,38,-201
19937380,-745,183,16838,35,-103,-93,-256,35,-191
19937880,-814,197,16860,50,-124,-93,-246,40,-187
19938380,-791,207,16877,43,-110,-100,-246,42,-188
19938880,-753,206,16863,41,-114,-98,-249,36,-192
19939380,-796,230,16851,38,-112,-99,-262,34,-206
19939880,-763,215,16802,36,-114,-87,-253,35,-196
19940380,-790,233,16866,43,-116,-100,-248,36,-205
19940880,-784,208,16851,40,-123,-99,-257,35,-196
19941380,-779,207,16920,39,-101,-102,-249,35,-209
19941880,-772,198,16882,43,-106,-100,-249,39,-203
19942380,-741,202,16884,39,-117,-92,-252,31,-203
19942880,-742,230,16905,41,-111,-113,-248,34,-193
19943380,-775,191,16831,59,-137,-103,-244,38,-190
19943880,-768,197,16848,47,-122,-106,-249,38,-191
19944380,-786,224,16862,50,-108,-110,-268,31,-208
19944880,-806,230,16881,41,-106,-97,-258,33,-212
19945380,-796,239,16873,42,-110,-100,-257,32,-198
19945880,-787,190,16849,42,-109,-94,-247,39,-207
19946380,-792,200,16896,44,-114,-84,-249,31,-187
19946880,-778,200,16858,46,-121,-98,-255,37,-218
19947380,-792,230,16900,46,-124,-92,-249,40,-201
19947880,-748,189,16876,47,-115,-111,-249,31,-187
19948380,-767,185,16904,42,-117,-112,-254,36,-195
19948880,-777,196,16869,47,-114,-94,-242,41,-198
19949380,-764,201,16867,38,-112,-100,-242,33,-192
19949880,-731,201,16931,46,-114,-109,-261,33,-199
19950380,-759,169,16879,33,-113,-88,-263,37,-214
19950880,-782,222,16893,41,-110,-105,-253,28,-202
19951380,-731,206,16874,38,-101,-89,-243,27,-190
19951880,-749,206,16890,43,-108,-97,-249,33,-200
19952380,-711,179,16898,44,-136,-101,-256,38,-202
19952880,-807,222,16873,49,-108,-93,-254,34,-194
19953380,-735,237,16816,38,-100,-97,-250,36,-196
19953880,-721,206,16857,42,-115,-98,-261,34,-206
19954380,-772,168,16866,41,-120,-95,-264,34,-196
19954880,-803,227,16864,45,-113,-103,-244,29,-188
19955380,-828,210,16838,43,-100,-102,-250,38,-190
19955880,-767,222,16877,41,-122,-102,-252,42,-190
