TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
163674.3571,231.8,970.022,35.502,1338.75,-2537.5,78.75,-574.56,870.96,284.24
163674.4072,232.532,966.362,35.502,1951.25,-4016.25,997.5,-562.4,855.76,299.44
163674.4573,234.362,969.595,31.598,2493.75,-4235.0,568.75,-576.08,851.2,290.32
163674.5074,232.288,967.277,32.391,1741.25,-2616.25,805.0,-570.0,863.36,302.48
163674.5575,235.765,962.336,27.511,2257.5,-2905.0,1120.0,-562.4,867.92,290.32
163674.6076,236.741,968.192,36.6,1408.75,-2240.0,428.75,-571.52,863.36,282.72
163674.6577,236.375,963.922,31.781,1382.5,-2826.25,595.0,-563.92,867.92,287.28
163674.7078,237.412,966.484,36.295,1776.25,-3228.75,1207.5,-562.4,875.52,304.0
163674.7579,235.582,966.423,40.443,1400.0,-3456.25,857.5,-557.84,863.36,294.88
163674.8081,236.558,966.179,36.722,2948.75,-3631.25,376.25,-576.08,869.44,296.4
163674.8582,238.632,971.364,34.465,2878.75,-2966.25,271.25,-568.48,877.04,287.28
163674.9083,234.85,965.142,30.561,2003.75,-3552.5,805.0,-574.56,860.32,281.2
163674.9584,238.327,968.131,33.062,1566.25,-3692.5,770.0,-571.52,869.44,297.92
163675.0085,234.423,964.349,32.025,1837.5,-3631.25,717.5,-563.92,861.84,285.76
163675.0586,240.462,965.386,33.55,1968.75,-3062.5,621.25,-571.52,872.48,291.84
163675.1087,235.887,969.473,34.953,1338.75,-2817.5,131.25,-550.24,861.84,291.84
163675.1588,235.094,968.192,33.428,2021.25,-3456.25,87.5,-568.48,860.32,290.32
163675.2089,231.434,964.532,36.966,1618.75,-4261.25,1172.5,-563.92,867.92,294.88
163675.259,235.765,968.619,34.892,1557.5,-3342.5,533.75,-559.36,852.72,294.88
163675.3091,232.837,967.765,34.526,1006.25,-3158.75,726.25,-568.48,861.84,297.92
163675.3592,235.887,962.824,31.11,2870.0,-3185.0,1268.75,-576.08,863.36,293.36
163675.4093,239.242,970.937,26.901,1767.5,-3255.0,787.5,-570.0,864.88,291.84
163675.4594,235.521,967.277,33.184,1671.25,-2476.25,1050.0,-580.64,864.88,294.88
163675.5095,240.096,964.288,27.877,3281.25,-2458.75,542.5,-574.56,870.96,287.28
163675.5597,237.107,966.606,33.855,3211.25,-2143.75,253.75,-566.96,870.96,302.48
163675.6098,233.935,969.9,31.659,3351.25,-2327.5,595.0,-563.92,863.36,290.32
163675.6599,234.057,967.826,30.988,2117.5,-3517.5,1128.75,-571.52,860.32,291.84
163675.71,239.73,969.412,29.646,962.5,-3666.25,1093.75,-566.96,857.28,299.44
163675.7601,238.51,962.763,28.426,1400.0,-3115.0,726.25,-563.92,857.28,296.4
163675.8102,238.51,967.094,27.511,2275.0,-3263.75,603.75,-556.32,861.84,293.36
163675.8603,233.752,967.338,28.304,1863.75,-2537.5,498.75,-570.0,867.92,291.84
163675.9105,233.813,966.423,26.596,1837.5,-3228.75,866.25,-574.56,863.36,304.0
163675.9605,238.51,959.53,30.012,1260.0,-3237.5,1050.0,-574.56,857.28,290.32
163676.0106,240.401,973.56,31.232,953.75,-1618.75,840.0,-570.0,867.92,288.8
163676.0607,235.704,966.911,31.415,700.0,-2651.25,236.25,-556.32,863.36,293.36
