TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
5917170,6.2219999999999995,4.453,-1003.816,-778.75,883.75,1163.75,0.0,0.0,0.0
5917670,8.600999999999999,3.843,-1002.718,-936.25,848.75,1198.75,0.0,0.0,0.0
5918271,7.381,4.514,-1003.023,-892.5,805.0,1155.0,0.0,0.0,0.0
5918688,7.503,4.758,-1001.986,-918.75,673.75,980.0,0.0,0.0,0.0
5919170,8.600999999999999,5.856,-1003.816,-866.25,805.0,1225.0,0.0,0.0,0.0
5919670,7.564,3.416,-1003.328,-787.5,726.25,1076.25,0.0,0.0,0.0
5920170,6.832,3.538,-1003.389,-726.25,892.5,1128.75,0.0,0.0,0.0
5920670,8.906,3.233,-1002.2909999999999,-875.0,743.75,1190.0,0.0,0.0,0.0
5921170,5.856,4.209,-1001.864,-813.75,638.75,1067.5,0.0,0.0,0.0
5921670,9.15,2.684,-1003.328,-971.25,752.5,1268.75,0.0,0.0,0.0
5922170,8.722999999999999,4.026,-1003.023,-822.5,682.5,1295.0,0.0,0.0,0.0
5922670,6.405,2.318,-1002.6569999999999,-875.0,568.75,1268.75,0.0,0.0,0.0
5923170,4.941,3.538,-1001.925,-743.75,796.25,1155.0,0.0,0.0,0.0
5923670,9.882,2.806,-1003.328,-1032.5,743.75,1120.0,0.0,0.0,0.0
5924170,5.063,4.3919999999999995,-1003.328,-770.0,787.5,1076.25,0.0,0.0,0.0
5924670,7.2589999999999995,2.6229999999999998,-1003.755,-848.75,787.5,1128.75,0.0,0.0,0.0
5925170,7.869,3.965,-1003.999,-848.75,822.5,1216.25,0.0,0.0,0.0
5925670,8.967,3.355,-1004.548,-918.75,770.0,1198.75,0.0,0.0,0.0
5926170,9.028,4.514,-1001.071,-813.75,822.5,1242.5,0.0,0.0,0.0
5926670,6.954,4.27,-1002.6569999999999,-875.0,848.75,1330.0,0.0,0.0,0.0
5927170,6.771,2.745,-1001.864,-743.75,910.0,1268.75,0.0,0.0,0.0
5927670,6.954,4.758,-1001.925,-971.25,857.5,1373.75,0.0,0.0,0.0
5928170,8.235,3.843,-1002.047,-778.75,901.25,1181.25,0.0,0.0,0.0
5928670,6.588,3.843,-1002.352,-1015.0,682.5,1286.25,0.0,0.0,0.0
5929170,7.442,3.233,-999.79,-735.0,761.25,1190.0,0.0,0.0,0.0
5929670,9.272,4.941,-1002.6569999999999,-988.75,691.25,1076.25,0.0,0.0,0.0
5930170,5.795,5.978,-1002.779,-665.0,796.25,1216.25,0.0,0.0,0.0
5930670,7.503,4.3309999999999995,-1002.352,-883.75,892.5,1076.25,0.0,0.0,0.0
5931170,7.32,4.27,-1001.4979999999999,-682.5,822.5,1303.75,0.0,0.0,0.0
5931670,7.015,4.087,-1003.328,-910.0,918.75,1303.75,0.0,0.0,0.0
5932170,4.636,4.026,-1000.888,-743.75,831.25,1172.5,0.0,0.0,0.0
5932670,8.296,4.453,-1003.328,-883.75,962.5,1251.25,0.0,0.0,0.0
5933170,7.686,2.989,-1002.047,-770.0,918.75,1365.0,0.0,0.0,0.0
5933670,8.906,3.416,-1003.023,-988.75,743.75,1347.5,0.0,0.0,0.0
5934170,6.71,3.782,-1002.962,-813.75,813.75,1277.5,0.0,0.0,0.0
5934670,6.832,2.013,-1003.938,-866.25,787.5,1268.75,0.0,0.0,0.0
5935170,5.734,3.5989999999999998,-1000.3389999999999,-866.25,778.75,1190.0,0.0,0.0,0.0
5935670,5.49,3.965,-1003.572,-901.25,813.75,1155.0,0.0,0.0,0.0
5936170,8.661999999999999,4.941,-1002.6569999999999,-822.5,778.75,1181.25,0.0,0.0,0.0
5936670,8.052,4.514,-1003.389,-840.0,778.75,1312.5,0.0,0.0,0.0
5937170,7.991,5.185,-1003.389,-901.25,761.25,1225.0,0.0,0.0,0.0
5937670,7.32,5.49,-1001.864,-997.5,761.25,1268.75,0.0,0.0,0.0
5938170,6.588,5.673,-1000.827,-927.5,927.5,1321.25,0.0,0.0,0.0
5938670,7.015,3.5989999999999998,-1001.376,-778.75,840.0,1365.0,0.0,0.0,0.0
5939170,8.113,4.941,-1002.23,-857.5,910.0,1321.25,0.0,0.0,0.0
5939670,6.832,5.2459999999999996,-1003.511,-857.5,901.25,1216.25,0.0,0.0,0.0
5940170,7.93,4.88,-1001.986,-945.0,682.5,1338.75,0.0,0.0,0.0
5940670,6.343999999999999,2.135,-1000.7049999999999,-726.25,805.0,1207.5,0.0,0.0,0.0
5941170,5.978,4.453,-1001.925,-980.0,875.0,1225.0,0.0,0.0,0.0
5941670,8.722999999999999,2.6229999999999998,-1001.864,-822.5,831.25,1260.0,0.0,0.0,0.0
5942170,7.564,1.83,-1001.4979999999999,-945.0,822.5,1303.75,0.0,0.0,0.0
5942670,5.978,6.039,-1002.84,-673.75,682.5,1172.5,0.0,0.0,0.0
5943170,6.527,6.588,-1001.6809999999999,-980.0,665.0,1137.5,0.0,0.0,0.0
5943670,5.2459999999999996,8.052,-1005.5849999999999,-778.75,796.25,1181.25,0.0,0.0,0.0
5944170,4.636,5.795,-999.119,-848.75,787.5,1268.75,0.0,0.0,0.0
5944670,11.102,-13.176,-991.9209999999999,-638.75,717.5,1146.25,0.0,0.0,0.0
5945170,9.211,3.05,-1000.583,-857.5,840.0,1321.25,0.0,0.0,0.0
5945670,5.368,5.185,-1004.67,-682.5,708.75,1233.75,0.0,0.0,0.0
5946170,9.211,3.538,-1005.4019999999999,-1006.25,831.25,1312.5,0.0,0.0,0.0
5946670,-1.403,25.559,-1016.077,-1128.75,813.75,1242.5,0.0,0.0,0.0
5947170,6.466,4.636,-997.167,-1146.25,717.5,1216.25,0.0,0.0,0.0
5947670,5.856,5.3069999999999995,-1005.524,-831.25,848.75,1321.25,0.0,0.0,0.0
5948170,7.564,1.83,-1006.073,-918.75,822.5,1242.5,0.0,0.0,0.0
5948670,8.113,3.538,-1003.694,-735.0,813.75,1268.75,0.0,0.0,0.0
5949170,6.039,1.708,-1003.755,-980.0,910.0,1198.75,0.0,0.0,0.0
5949670,6.161,1.769,-1001.376,-822.5,910.0,1312.5,0.0,0.0,0.0
5950170,4.941,5.002,-997.045,-1006.25,778.75,1111.25,0.0,0.0,0.0
5950670,9.638,4.3309999999999995,-1007.415,-778.75,682.5,1233.75,0.0,0.0,0.0
5951171,3.965,3.416,-999.241,-927.5,813.75,1216.25,0.0,0.0,0.0
5951670,7.747,3.721,-1002.779,-822.5,630.0,1076.25,0.0,0.0,0.0
5952269,7.1979999999999995,3.66,-1004.304,-971.25,910.0,1111.25,0.0,0.0,0.0
5952681,8.600999999999999,6.832,-1004.365,-822.5,778.75,1207.5,0.0,0.0,0.0
5953170,6.71,5.429,-1006.683,-682.5,822.5,1268.75,0.0,0.0,0.0
5953670,7.93,6.832,-1002.962,-787.5,735.0,1207.5,0.0,0.0,0.0
5954170,5.734,6.2219999999999995,-1002.779,-927.5,665.0,1190.0,0.0,0.0,0.0
5954670,8.113,2.867,-1001.193,-787.5,778.75,1312.5,0.0,0.0,0.0
5955170,6.588,5.673,-1003.023,-787.5,883.75,1233.75,0.0,0.0,0.0
5955670,9.15,4.88,-1002.535,-708.75,1050.0,1268.75,0.0,0.0,0.0
5956269,6.161,3.1109999999999998,-1002.84,-1058.75,831.25,1058.75,0.0,0.0,0.0
